"""20170416""",358278,2017-4-15,15046
"""20170417""",677553,2017-4-16,73172
"""20170418""",2045682,2017-4-17,30738
"""20170419""",4538007,2017-4-18,27332
"""20170420""",4851669,2017-4-19,8568
"""20170421""",5297082,2017-4-20,5586
"""20170422""",6684612,2017-4-21,5527
"""20170423""",7819821,2017-4-22,9805
"""20170424""",5472368,2017-4-23,6509
"""20170425""",5257615,2017-4-24,2065
"""20170426""",4352245,2017-4-25,2232
"""20170427""",3559510,2017-4-26,1386
"""20170428""",3042666,2017-4-27,1458
"""20170429""",3221187,2017-4-28,7332
"""20170430""",4387055,2017-4-29,3687
"""20170501""",3884536,2017-4-30,2879
"""20170502""",2902593,2017-5-1,1799
"""20170503""",2902593,2017-5-2,2317
"""20170504""",2902593,2017-5-3,1338
"""20170505""",2902593,2017-5-4,1072
"""20170506""",2902593,2017-5-5,1409
"""20170507""",1916227,2017-5-6,1144
"""20170508""",1514734,2017-5-7,4275
"""20170509""",1276059,2017-5-8,774
"""20170510""",1426516,2017-5-9,8677
"""20170511""",2585836,2017-5-10,14368
"""20170512""",3147199,2017-5-11,28840
"""20170513""",3452364,2017-5-12,9781
"""20170514""",3555888,2017-5-13,26103
"""20170515""",3385451,2017-5-14,6142
"""20170516""",2946712,2017-5-15,9731
"""20170517""",2839093,2017-5-16,34311
"""20170518""",2918634,2017-5-17,28494
"""20170519""",3150434,2017-5-18,31281
"""20170520""",3640913,2017-5-19,26637
"""20170521""",4296419,2017-5-20,63279
"""20170522""",4225415,2017-5-21,12234
"""20170523""",4659538,2017-5-22,19214
"""20170524""",4505267,2017-5-23,11795
"""20170525""",4505267,2017-5-24,25136
"""20170526""",11290361,2017-5-25,31661
"""20170527""",17245025,2017-5-26,30269
"""20170528""",24791061,2017-5-27,21155
"""20170529""",23919656,2017-5-28,22423
"""20170530""",20707964,2017-5-29,16022
"""20170531""",13716367,2017-5-30,9137
"""20170601""",8270615,2017-5-31,14702
"""20170602""",5861136,2017-6-1,24490
"""20170603""",7664911,2017-6-2,28277
"""20170604""",9803764,2017-6-3,9546
"""20170605""",8032801,2017-6-4,12182
"""20170606""",6580106,2017-6-5,24184
"""20170607""",4790922,2017-6-6,34948
"""20170608""",4833598,2017-6-7,23044
"""20170609""",5429355,2017-6-8,25402
"""20170610""",6852858,2017-6-9,48347
"""20170611""",7327835,2017-6-10,38197
"""20170612""",6129210,2017-6-11,45658
"""20170613""",5884352,2017-6-12,202574
